Best Model: WeightedEnsemble_L3
Training Time: 0.023241281509399414 seconds
Validation Score: -587282.4204193995

Model Performance:
                      model     score_val             eval_metric  pred_time_val    fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
  NeuralNetTorch_r89_BAG_L1 -8.676826e+05 root_mean_squared_error       0.065627   14.262496                0.065627          14.262496            1       True        108
  NeuralNetTorch_r87_BAG_L1 -8.684503e+05 root_mean_squared_error       0.073241   14.131967                0.073241          14.131967            1       True         70
  NeuralNetTorch_r71_BAG_L1 -8.690312e+05 root_mean_squared_error       0.060184    8.060891                0.060184           8.060891            1       True         71
  NeuralNetTorch_r30_BAG_L1 -8.704486e+05 root_mean_squared_error       0.071214   15.112395                0.071214          15.112395            1       True         28
 NeuralNetTorch_r143_BAG_L1 -8.711436e+05 root_mean_squared_error       0.071904   17.547843                0.071904          17.547843            1       True         60
NeuralNetFastAI_r100_BAG_L1 -8.718555e+05 root_mean_squared_error       0.167836   24.533202                0.167836          24.533202            1       True         99
NeuralNetFastAI_r194_BAG_L1 -8.724952e+05 root_mean_squared_error       0.104264    7.494129                0.104264           7.494129            1       True         93
   NeuralNetTorch_r1_BAG_L1 -8.734127e+05 root_mean_squared_error       0.068154   17.066772                0.068154          17.066772            1       True        107
 NeuralNetFastAI_r95_BAG_L1 -8.750449e+05 root_mean_squared_error       0.082626    9.332876                0.082626           9.332876            1       True         45
NeuralNetFastAI_r172_BAG_L1 -8.752414e+05 root_mean_squared_error       0.068561    6.731617                0.068561           6.731617            1       True         86
 NeuralNetFastAI_r37_BAG_L1 -8.760917e+05 root_mean_squared_error       0.084638    7.392938                0.084638           7.392938            1       True         51
  NeuralNetTorch_r14_BAG_L1 -8.773800e+05 root_mean_squared_error       0.092819    8.432887                0.092819           8.432887            1       True         37
      NeuralNetTorch_BAG_L1 -8.834094e+05 root_mean_squared_error       0.077525   11.463739                0.077525          11.463739            1       True         10
 NeuralNetTorch_r185_BAG_L1 -8.884113e+05 root_mean_squared_error       0.068812   11.188131                0.068812          11.188131            1       True         76
      KNeighborsUnif_BAG_L1 -1.407684e+06 root_mean_squared_error       0.013259    0.004455                0.013259           0.004455            1       True          1
      KNeighborsDist_BAG_L1 -1.418599e+06 root_mean_squared_error       0.012197    0.003232                0.012197           0.003232            1       True          2
